address,postcode,Rental price,Offered since,Status,Available,Interior,Living area,Type of house,Type of construction,Number of rooms,Number of bedrooms,Number of bathrooms,Facilities,Balcony,Garden,Energy rating,url,Upkeep,Volume,Year of construction,Number of floors,Present,Rental agreement,Deposit,Location,Insulation,Heating,Hot water,Shed/Storeroom,Type of parking,Smoking allowed,Pets allowed,Target audience,Income requirement,Maximum number of residents,Duration,Specifics,Service costs,Plot area,Garden description,Description,Central heating boiler
Apartment Merelstraat in Utrecht,3514 CL (Vogelenbuurt),"€1,150 per month

Excludes: Service costs",19-10-2022,For rent,From 01-11-2022,Upholstered or furnished,26 m²,Upstairs apartment,Existing building,2,1,,,Not present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/769db979/merelstraat,Good,95 m³,1915,1,No,,,,,,,,,,,,,,,,€175,,,,
House Morelstraat in Utrecht,3552 GM (Ondiep),"€1,495 per month",2 weeks,For rent,From 01-11-2022,Furnished,55 m²,"Mid-terrace house, Family home",Existing building,2,1,,,Not present,Present,F,https://www.pararius.com/house-for-rent/utrecht/19342a59/morelstraat,,,,,Yes,,,,,,,,,,,,,,,,,,,,
Apartment Winklerlaan in Utrecht,3571 KE (Tuindorp-Oost),"€1,350 per month",2 weeks,For rent,From 01-11-2022,Shell,85 m²,Gallery flat,Existing building,3,3,,,Present,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/56eddceb/winklerlaan,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Koningsweg in Utrecht,3582 GH (L. Napoleonplantsoen en omgeving),"€1,550 per month",3 weeks,For rent,In consultation,Upholstered,80 m²,"Gallery flat, Apartment",Existing building,3,2,,,,Not present,D,https://www.pararius.com/apartment-for-rent/utrecht/bfd93471/koningsweg,Good,240 m³,1962,1,No,Temporary rental,"€1,550",At a park,,,,Present,Paid,No,No,Working,"€4,700",2,,,,,,,
Apartment Londenstraat in Utrecht,3541 CB (Leidsche Rijn-Centrum),"€1,600 per month",7 weeks,Rented under option,From 01-11-2022,Upholstered,67 m²,"Gallery flat, Apartment",Existing building,3,1,,Mechanical ventilation,Not present,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/31cf2fa5/londenstraat,Good,265 m³,2011-2020,1,Yes,,,In the city centre,,District heating,,Present,Paid,,,,,,,,,,,Parkeerkelder,
Apartment Aartsbisschop Romerostraat 133 in Utrecht,3573 AE (Voordorp en Voorveldsepolder),"€1,515 per month",6 weeks,For rent,Immediately,Upholstered,101 m²,Gallery flat,Existing building,3,2,1,Lift,Present,Not present,C,https://www.pararius.com/apartment-for-rent/utrecht/743d4722/aartsbisschop-romerostraat,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Schoutenstraat in Utrecht,"3512 GB (Domplein, Neude, Janskerkhof)","€1,295 per month",13-10-2022,For rent,From 01-01-2023,Upholstered,60 m²,Gallery flat,Existing building,2,1,1,,,,,https://www.pararius.com/apartment-for-rent/utrecht/7323072b/schoutenstraat,,,1900,,,,,,,,,,,,,,,,,,,,,,
House Jasmijnstraat in Utrecht,3551 SP (2e Daalsebuurt en omgeving),"€1,650 per month",5 weeks,For rent,In consultation,,83 m²,"Mid-terrace house, Family home",Existing building,6,2,1,"Shower
 Storage space
 Toilet
 Laundry room",Not present,"Present (5 m², located on the north-west)",F,https://www.pararius.com/house-for-rent/utrecht/ad88ac23/jasmijnstraat,Good,185 m³,1910,2,No,,,In the city centre,Partial double glazing,Central heating boiler,Central heating boiler,Present,Paid,,,,,,,,,,achtertuin,Aangebouwd steen,"HR (Gas, Property)"
Apartment Oudegracht in Utrecht,"3511 AJ (Lange Elisabethstraat, Mariaplaats en omgeving)","€1,100 per month",2 weeks,For rent,From 01-11-2022,Upholstered,50 m²,Gallery flat,Existing building,1,,1,,,,,https://www.pararius.com/apartment-for-rent/utrecht/3364a017/oudegracht,,,1930,,,,,,,,,,,,,,,,,,,,,,
Apartment Loeff Berchmakerstraat in Utrecht,3512 TD (Breedstraat en Plompetorengracht en omgeving),"€1,095 per month",2 weeks,For rent,From 01-11-2022,Upholstered,37 m²,Gallery flat,Existing building,2,2,,,Present,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/8dee882a/loeff-berchmakerstraat,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Linnaeusstraat in Utrecht,3553 CE (Elinkwijk en omgeving),"€1,075 per month",3 weeks,Rented under option,Immediately,,38 m²,Upstairs apartment,Existing building,1,,,"Roof terrace
 Shower
 Toilet",Not present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/b31afdb1/linnaeusstraat,Good,80 m³,1926,1,No,,,,,,,,Public,,,,,,,,€200,,,,
Apartment Bakhuizen van den Brinkstraat in Utrecht,"3532 GA (Nieuw Engeland, Th. a. Kempisplantsoen en omgeving)","€1,150 per month",21-10-2022,For rent,From 01-11-2022,Furnished,35 m²,"Downstairs apartment, Apartment",Existing building,2,1,1,"Shower
 Toilet",,Present,C,https://www.pararius.com/apartment-for-rent/utrecht/a9b70717/bakhuizen-van-den-brinkstraat,Good,88 m³,1950,1,No,Unlimited period,"€1,150",in a residential area,,,,Not present,Paid,No,No,Working,"€3,450",2,,,,,,,
Apartment Eschersingel in Utrecht,3544 ML (Het Zand-West),"€1,525 per month",21-10-2022,For rent,From 21-11-2022,Upholstered or furnished,100 m²,"Upstairs apartment, Double upstairs apartment",Existing building,3,2,1,Toilet,,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/59c50522/eschersingel,Reasonable,270 m³,2000,1,No,Unlimited period,"€1,525",in a residential area,,,,Not present,,No,No,Working,"€4,575",2,,,,,,,
Apartment Pal Maleterstraat 11 in Utrecht,3573 PE (Voordorp en Voorveldsepolder),"€1,645 per month",6 weeks,For rent,Immediately,Upholstered,112 m²,Gallery flat,Existing building,4,3,1,Lift,Present,Not present,B,https://www.pararius.com/apartment-for-rent/utrecht/14b620f4/pal-maleterstraat,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Beneluxlaan 134 in Utrecht,3527 HX (Transwijk-Noord),"€1,395 per month",11-10-2022,For rent,From 01-11-2022,Shell,75 m²,"Gallery flat, Apartment",Existing building,3,2,1,"Shower
 Toilet",Present,,F,https://www.pararius.com/apartment-for-rent/utrecht/2fd53209/beneluxlaan,,242 m³,1963,1,Yes,,"€2,790",,Partial double glazing,District heating,Electric boiler,,Public,,,,,,,,,,,,
Apartment Aartsbisschop Romerostraat 133 in Utrecht,3573 AE (Voordorp en Voorveldsepolder),"€1,515 per month",6 weeks,For rent,Immediately,Upholstered,101 m²,Gallery flat,Existing building,3,2,1,Lift,Present,Not present,C,https://www.pararius.com/apartment-for-rent/utrecht/743d4722/aartsbisschop-romerostraat,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Pieterskerkhof 23 L in Utrecht,"3512 JS (Domplein, Neude, Janskerkhof)","€1,750 per month

Excludes: Service costs",21-10-2022,For rent,From 01-11-2022,Upholstered,63 m²,"Downstairs apartment, Apartment",Existing building,2,1,1,"Cable TV
 Mechanical ventilation
 Shower
 Toilet
 Laundry room",Not present,Not present,A+++,https://www.pararius.com/apartment-for-rent/utrecht/70eb0c4b/pieterskerkhof,€100,Monumental building,Excellent,190 m³,2022,In the city centre,1,"Double glazing, Floor insulation, Fully insulated, Roof insulation, Wall insulation",District heating,Central heating,Present,Box,No,Paid,,,,,,,,,,,
Apartment Auriollaan in Utrecht,3527 ES (Kanaleneiland-Noord),"€1,575 per month",2 weeks,Under option,From 01-11-2022,Upholstered,75 m²,"Mezzanine, Apartment",Existing building,4,3,1,Toilet,Present,Not present,B,https://www.pararius.com/apartment-for-rent/utrecht/44a0c9b1/auriollaan,,,Good,185 m³,2016,"On a quiet road
 in a residential area",1,,,,Not present,,No,Public,Temporary rental,"€3,150",No,No,Working,"€4,725",,,,,
Studio Limapad in Utrecht,3584 SR (Utrecht Science Park),€520 per month,3+ months,For rent,In consultation,Furnished,22 m²,Studio,Existing building,2,1,2,Shower,,Not present,,https://www.pararius.com/studio-for-rent/utrecht/48156611/limapad,,,,,2020,,1,,,,Not present,,No,,,,,,,,,,,,
Apartment Maliestraat 1 5 in Utrecht,3581 SH (Buiten Wittevrouwen),"€1,745 per month",15-10-2022,Rented under option,From 15-11-2022,Furnished,60 m²,"Upstairs apartment, Apartment",Existing building,2,1,1,"Mechanical ventilation
 Shower
 Toilet",Not present,Present,,https://www.pararius.com/apartment-for-rent/utrecht/f97bb17d/maliestraat,€150,,Good,180 m³,1906,"in a residential area
 Near public transportation",1,,,,,,,,,"€3,490",,,,,,,,,
Apartment Zadelstraat 5 in Utrecht,"3511 LR (Lange Elisabethstraat, Mariaplaats en omgeving)","€1,350 per month",2 weeks,Rented under option,From 01-11-2022,Shell,62 m²,Apartment,Existing building,2,1,1,Shower,Not present,Not present,F,https://www.pararius.com/apartment-for-rent/utrecht/689f51e3/zadelstraat,,,,,,,,,,,Not present,,No,,,,,,,,,,,,
Apartment Adriaan van Bergenstraat in Utrecht,3554 VE (Schaakbuurt en omgeving),"€1,600 per month

Includes: Service costs",19-10-2022,For rent,From 15-11-2022,Upholstered,81 m²,"Gallery flat, Apartment",Existing building,3,2,1,,Present,,A,https://www.pararius.com/apartment-for-rent/utrecht/558fd8b4/adriaan-van-bergenstraat,,,,,2002,,,,,,,,Yes,,,,,,,,,,,,
Apartment Linnaeusstraat in Utrecht,3553 CE (Elinkwijk en omgeving),"€1,075 per month",3 weeks,Rented under option,Immediately,,38 m²,Upstairs apartment,Existing building,1,,,"Roof terrace
 Shower
 Toilet",Not present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/b31afdb1/linnaeusstraat,€200,,Good,80 m³,1926,,1,,,,,,No,Public,,,,,,,,,,,
Apartment Visschersplein 178 in Utrecht,"3511 LX (Lange Elisabethstraat, Mariaplaats en omgeving)","€1,495 per month",2 weeks,Under offer,From 01-11-2022,Upholstered,70 m²,"Upstairs apartment, Apartment",Existing building,2,1,1,,Not present,,A,https://www.pararius.com/apartment-for-rent/utrecht/5010e514/visschersplein,,Monumental building,,195 m³,Before 1906,"In the city centre
 Near public transportation
 Near a school
 Near a shopping centre",1,,,District heating,,,,,,"€2,990",,,,,,,,,
Apartment Van Hoornekade 135 in Utrecht,3554 AT (Geuzenwijk),"€1,100 per month",21-10-2022,For rent,In consultation,,90 m²,Upstairs apartment,Existing building,4,2,,,Not present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/3e92cf4e/van-hoornekade,,,Good,225 m³,1931,,1,,,,,,No,Public,,,,,,,,,,,
Apartment Loeff Berchmakerstraat in Utrecht,3512 TD (Breedstraat en Plompetorengracht en omgeving),"€1,095 per month",2 weeks,For rent,From 01-11-2022,Upholstered,37 m²,Gallery flat,Existing building,2,2,,,Present,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/8dee882a/loeff-berchmakerstraat,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Weerdsingel O.Z. in Utrecht,3514 AG (Vogelenbuurt),"€1,500 per month",21-10-2022,For rent,From 01-11-2022,Furnished,75 m²,Gallery flat,Existing building,2,1,1,,,,,https://www.pararius.com/apartment-for-rent/utrecht/c19da239/weerdsingel-o-z,,,,,1880,,,,,,,,,,,,,,,,,,,,
Apartment Schoutenstraat in Utrecht,"3512 GB (Domplein, Neude, Janskerkhof)","€1,295 per month",13-10-2022,For rent,From 01-01-2023,Upholstered,60 m²,Gallery flat,Existing building,2,1,1,,,,,https://www.pararius.com/apartment-for-rent/utrecht/7323072b/schoutenstraat,,,,,1900,,,,,,,,,,,,,,,,,,,,
Apartment Beneluxlaan 134 in Utrecht,3527 HX (Transwijk-Noord),"€1,395 per month",11-10-2022,For rent,From 01-11-2022,Shell,75 m²,"Gallery flat, Apartment",Existing building,3,2,1,"Shower
 Toilet",Present,,F,https://www.pararius.com/apartment-for-rent/utrecht/2fd53209/beneluxlaan,,,,242 m³,1963,,1,Partial double glazing,District heating,Electric boiler,,,Yes,Public,,"€2,790",,,,,,,,,
Apartment Hekelsteeg 10 A in Utrecht,"3511 AK (Lange Elisabethstraat, Mariaplaats en omgeving)","€1,325 per month",20-10-2022,For rent,Immediately,,51 m²,"Mezzanine, Apartment",Existing building,2,1,1,,Not present,Present,D,https://www.pararius.com/apartment-for-rent/utrecht/cfa3e7bc/hekelsteeg,,,Excellent,153 m³,1913,In the city centre,1,,,,,,,,,"€1,350",,,,,,,,,
Apartment Twijnstraat in Utrecht,3511 ZL (Lange Nieuwstraat en omgeving),"€1,150 per month

Includes: Electricity, Gas, Water",2 weeks,For rent,In consultation,Upholstered,31 m²,"Upstairs apartment, Apartment",Existing building,2,1,,,,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/40a9c93d/twijnstraat,,,Good,60 m³,1950,In the city centre,1,,,,Not present,,No,,Temporary rental,"€1,150",,No,,,,,,,
Studio Bemuurde Weerd O.Z. 33 in Utrecht,3514 AP (Lauwerecht),"€1,500 per month

Includes: Electricity, Gas, Internet, Water",17-10-2022,For rent,From 01-11-2022,Upholstered or furnished,55 m²,"Studio, Apartment",Existing building,1,1,1,,Present,Present (60 m²),,https://www.pararius.com/studio-for-rent/utrecht/fc24df83/bemuurde-weerd-o-z,,,Good,150 m³,1820,In the city centre,1,"Double glazing, Floor insulation, Fully insulated, Roof insulation, Wall insulation",Central heating boiler,Gas boiler,Not present,,No,Public,Temporary rental,"€3,000",No,No,,,,,,,
Apartment Monarchvlinderlaan in Utrecht,3544 DC (Parkwijk-Noord),"€1,295 per month",2 weeks,For rent,Immediately,Furnished,56 m²,"Downstairs apartment, Apartment",Existing building,3,1,1,"Shower
 Toilet",,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/7fc58433/monarchvlinderlaan,,,Good,,,,2,,,,Not present,,No,,Temporary rental,"€2,590",No,No,Working,,2,,,,
Apartment Domplein in Utrecht,"3512 JC (Domplein, Neude, Janskerkhof)",€975 per month,09-10-2022,Under option,From 01-11-2022,Furnished,22 m²,Upstairs apartment,Existing building,1,1,,French balcony,Not present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/3303ef9a/domplein,,Monumental building,Good,60 m³,1900,,1,,,Central heating,,,No,,,,,,,,,,,,
Apartment Catharijnesingel in Utrecht,3511 GM (Hooch Boulandt),"€1,600 per month

Excludes: Service costs",3 weeks,For rent,Immediately,Upholstered or furnished,32 m²,Upstairs apartment,Existing building,2,1,,,Not present,Not present,D,https://www.pararius.com/apartment-for-rent/utrecht/e307977c/catharijnesingel,€250,,Excellent,95 m³,1920,,1,,,,,,No,,,,,,,,,,,,
Apartment Nieuwegracht in Utrecht,3512 LV (Nieuwegracht-Oost),"€1,350 per month",20-10-2022,For rent,From 15-11-2022,Furnished,45 m²,"Downstairs apartment, Apartment",Existing building,2,1,1,,,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/a15db453/nieuwegracht,,,Good,100 m³,1600,"By the water
 In the city centre",1,,,,Not present,,No,,Temporary rental,"€2,700",,No,Working,"€4,050",1,,,,
Apartment Loeff Berchmakerstraat 11 1 in Utrecht,3512 TC (Breedstraat en Plompetorengracht en omgeving),"€1,050 per month

Includes: Gas, Water, Electricity",09-10-2022,For rent,Immediately,Shell,35 m²,Apartment,Existing building,2,1,1,,Not present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/6d8a76f8/loeff-berchmakerstraat,,,,,,,,,,,Not present,,No,,Unlimited period,,,,,,,Minimum of 1 months,,,
Apartment Van Weerden Poelmanlaan 2 in Utrecht,3527 KN (Transwijk-Noord),"€1,350 per month",3 weeks,For rent,From 29-10-2022,Upholstered,92 m²,Gallery flat,Existing building,3,2,1,Lift,Present,Not present,G,https://www.pararius.com/apartment-for-rent/utrecht/143bfcc8/van-weerden-poelmanlaan,,,,,1968,,,,,,,,Yes,,,,,,,,,Minimum of 12 months,,,
Apartment Pal Maleterstraat 11 in Utrecht,3573 PE (Voordorp en Voorveldsepolder),"€1,645 per month",6 weeks,For rent,Immediately,Upholstered,112 m²,Gallery flat,Existing building,4,3,1,Lift,Present,Not present,B,https://www.pararius.com/apartment-for-rent/utrecht/14b620f4/pal-maleterstraat,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Wijde Begijnestraat in Utrecht,3512 AW (Breedstraat en Plompetorengracht en omgeving),"€1,400 per month

Includes: Service costs",11-10-2022,For rent,Immediately,Upholstered,60 m²,"Upstairs apartment, Apartment",Existing building,2,1,1,"Shower
 Toilet",,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/f2a2f833/wijde-begijnestraat,,Monumental building,Good,,,In the city centre,1,,,,Not present,,No,,,"€2,800",No,No,,,2,,,,
House Morelstraat in Utrecht,3552 GM (Ondiep),"€1,495 per month",2 weeks,For rent,From 01-11-2022,Furnished,55 m²,"Mid-terrace house, Family home",Existing building,2,1,,,Not present,Present,F,https://www.pararius.com/house-for-rent/utrecht/19342a59/morelstraat,,,,,,,,,,,,,Yes,,,,,,,,,,,,
Apartment Tafelbergdreef 192 in Utrecht,3564 AG (Zambesidreef en omgeving),"€1,325 per month",21-10-2022,For rent,From 18-11-2022,Upholstered,84 m²,Gallery flat,Existing building,4,3,1,Lift,Present,Not present,F,https://www.pararius.com/apartment-for-rent/utrecht/43bba35a/tafelbergdreef,,,,,1967,,,,,,,,Yes,,,,,,,,,Minimum of 12 months,,,
House Carel Willinkstraat in Utrecht,3544 MA (Het Zand-West),"€1,650 per month",10-10-2022,For rent,From 15-11-2022,Upholstered,80 m²,"Mid-terrace house, Family home",Existing building,3,2,,"Mechanical ventilation
 Toilet
 Laundry room",,Present,A,https://www.pararius.com/house-for-rent/utrecht/8353dcca/carel-willinkstraat,,,Good,298 m³,2005,in a residential area,3,Fully insulated,District heating,District heating,Present,,Yes,Public,Temporary rental,"€3,300",No,No,Working,"€4,950",2,,,,
Apartment Hebe Kohlbruggeweg in Utrecht,3527 MD (Transwijk-Noord),"€1,500 per month",19-10-2022,For rent,Immediately,Upholstered,67 m²,"Upstairs apartment, Apartment",Existing building,2,1,1,,Not present,,A++,https://www.pararius.com/apartment-for-rent/utrecht/5baa9b49/hebe-kohlbruggeweg,,,,200 m³,2022,,1,,,,,,,,,"€3,000",,,,,,,,,
Apartment Pieterskerkhof 23 B in Utrecht,"3512 JS (Domplein, Neude, Janskerkhof)","€1,675 per month

Excludes: Service costs",21-10-2022,For rent,From 01-11-2022,Upholstered,66 m²,"Maisonette, Apartment",Existing building,2,1,1,"Cable TV
 Mechanical ventilation
 Shower
 Toilet
 Laundry room",Not present,Not present,A++,https://www.pararius.com/apartment-for-rent/utrecht/a6659750/pieterskerkhof,€100,Monumental building,Excellent,220 m³,2022,In the city centre,1,"Double glazing, Floor insulation, Fully insulated, Roof insulation, Wall insulation",District heating,Central heating,Present,Box,No,Paid,,,,,,,,,,,
Apartment Pal Maleterstraat 57 in Utrecht,3573 PG (Voordorp en Voorveldsepolder),"€1,675 per month",6 weeks,For rent,Immediately,Upholstered,112 m²,Gallery flat,Existing building,4,3,1,Lift,Present,Not present,B,https://www.pararius.com/apartment-for-rent/utrecht/3b2e0368/pal-maleterstraat,,,,,,,,,,,,,,,,,,,,,,,,,
House Korenbloemstraat in Utrecht,"3551 GM (Egelantierstraat, Mariëndaalstraat e.o.)","€1,750 per month",21-10-2022,For rent,From 01-12-2022,Upholstered,85 m²,"Corner house, Family home",Existing building,4,2,2,"Roof terrace
 Shower
 Storage space",,Present (16 m²),F,https://www.pararius.com/house-for-rent/utrecht/1f1f3263/korenbloemstraat,,,Good,212 m³,1906,"At a park
 in a residential area",2,,,,Not present,,No,Paid,Unlimited period,"€1,750",No,No,Working,"€5,250",2,,,,
Apartment Peltlaan in Utrecht,3527 EB (Kanaleneiland-Noord),"€1,300 per month",2 weeks,For rent,Immediately,Furnished,72 m²,"Upstairs apartment, Apartment",Existing building,3,2,1,,,Not present,E,https://www.pararius.com/apartment-for-rent/utrecht/83bcf533/peltlaan,,,Good,,1959,in a residential area,1,,,,Not present,,No,Public,Temporary rental,"€3,500",No,No,,,,,,,
Apartment Karel Doormanlaan in Utrecht,"3572 NA (Huizingalaan, K. Doormanlaan en omgeving)","€1,750 per month",19-10-2022,For rent,From 01-12-2022,Furnished,100 m²,"Upstairs apartment, Apartment",Existing building,3,2,1,"Lift
 Toilet",Present,Not present,E,https://www.pararius.com/apartment-for-rent/utrecht/bec8caaf/karel-doormanlaan,,,Good,250 m³,1965,in a residential area,1,,,,Present,,No,,Unlimited period,"€3,500",No,No,Working,"€5,250",,,,,
Apartment Zambesidreef 139 in Utrecht,3564 CB (Zambesidreef en omgeving),"€1,230 per month",6 weeks,For rent,Immediately,Shell,88 m²,Gallery flat,Existing building,3,2,1,Lift,Present,Not present,A+,https://www.pararius.com/apartment-for-rent/utrecht/6d03c0f1/zambesidreef,,,,,,,,,,,,,,,,,,,,,,,,,
House Wijde Doelen in Utrecht,3512 XN (Lange Nieuwstraat en omgeving),"€1,495 per month",18-10-2022,For rent,From 01-11-2022,Upholstered,84 m²,"Mid-terrace house, Family home",Existing building,3,2,1,,,Not present,E,https://www.pararius.com/house-for-rent/utrecht/603821fd/wijde-doelen,,,Good,210 m³,1900,"In the city centre
 in a residential area",2,,,,Not present,,No,,Temporary rental,"€2,990",No,No,Working,"€4,485",,,,,
Apartment Koekoeksplein in Utrecht,3514 TT (Vogelenbuurt),"€1,515 per month",13-10-2022,For rent,From 01-11-2022,Upholstered,45 m²,"Downstairs apartment, Apartment",Existing building,3,2,1,"Shower
 Toilet
 Laundry room",,Present (10 m²),B,https://www.pararius.com/apartment-for-rent/utrecht/b686dd1f/koekoeksplein,,,Excellent,115 m³,1900,in a residential area,1,,,,Not present,,No,Paid,Temporary rental,"€3,030",No,No,Working,,2,,,,
Apartment Kromme Nieuwegracht in Utrecht,"3512 HC (Domplein, Neude, Janskerkhof)","€1,695 per month",2 months,For rent,From 01-12-2022,Upholstered,100 m²,"Penthouse, Apartment",Existing building,3,2,1,Laundry room,Present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/36e48ff9/kromme-nieuwegracht,,,Good,250 m³,1900,"On a waterway
 By the water
 In the city centre",1,,,,Not present,,No,,Temporary rental,"€3,390",No,No,Working,"€5,085",,,,,
Studio Oudegracht in Utrecht,3511 AB (Wijk C),€730 per month,20-10-2022,For rent,Immediately,Furnished,24 m²,Studio,Existing building,1,1,1,,,Present,,https://www.pararius.com/studio-for-rent/utrecht/26e0fcfb/oudegracht,€315,Monumental building,Excellent,75 m³,1818,In the city centre,1,,,,Not present,,No,,Temporary rental,"€1,500",No,No,Working,,1,,,,
Apartment Trumanlaan in Utrecht,3527 BM (Kanaleneiland-Noord),"€1,530 per month

Includes: Service costs",7 weeks,For rent,Immediately,Furnished,75 m²,"Upstairs apartment, Apartment",Existing building,3,2,2,Laundry room,Present,Not present,B,https://www.pararius.com/apartment-for-rent/utrecht/32db0281/trumanlaan,,,,,1960,in a residential area,1,,,,Not present,,No,Public,Unlimited period,"€2,000",,,,,,,,,
Apartment Vleutenseweg in Utrecht,3532 HL (Lombok-Oost),"€1,650 per month",18-10-2022,For rent,From 26-10-2022,Furnished,47 m²,Gallery flat,Existing building,2,1,,"Shower
 Toilet",Present,Present,,https://www.pararius.com/apartment-for-rent/utrecht/f8fe35e2/vleutenseweg,,,,,,"In the city centre
 Unobstructed view",,,,,Not present,,No,On private land,,"€1,650",,No,,,,,,,
Apartment Nachtegaalstraat in Utrecht,3581 AB (Buiten Wittevrouwen),"€1,395 per month",18-10-2022,For rent,From 01-11-2022,Upholstered,65 m²,"Upstairs apartment, Apartment",Existing building,2,1,1,,Not present,,,https://www.pararius.com/apartment-for-rent/utrecht/0343c454/nachtegaalstraat,,,,180 m³,Before 1906,Near public transportation,1,,,,,,,,,"€3,290",,,,,,,,,
Apartment Twellosebeeklaan in Utrecht,3521 DR (Dichterswijk),"€1,500 per month

Excludes: Service costs",7 weeks,For rent,Immediately,,81 m²,"Gallery flat, Apartment",New development,3,2,,,,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/90eb4902/twellosebeeklaan,,,Excellent,230 m³,2021,,1,,,,,Parkeerkelder,Yes,,,,,,,,,,,,
Apartment Bemuurde Weerd O.Z. 50 in Utrecht,3514 AS (Lauwerecht),"€1,295 per month",2 months,For rent,Immediately,Upholstered,53 m²,Gallery flat,Existing building,2,1,1,,Not present,Not present,D,https://www.pararius.com/apartment-for-rent/utrecht/ce7bd98e/bemuurde-weerd-o-z,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Van Sijpesteijnkade in Utrecht,3521 AH (Hoog-Catharijne NS en Jaarbeurs),€950 per month,3 months,For rent,Immediately,,43 m²,Gallery flat,New development,2,1,1,,,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/bb76b004/van-sijpesteijnkade,,,Excellent,112 m³,2022,,1,,,,,,No,,,,,,,,,,,,
Apartment Pal Maleterstraat 47 in Utrecht,3573 PG (Voordorp en Voorveldsepolder),"€1,325 per month",2 months,For rent,Immediately,Shell,76 m²,Gallery flat,Existing building,2,1,1,Lift,Not present,Not present,A,https://www.pararius.com/apartment-for-rent/utrecht/3b1d1c8e/pal-maleterstraat,,,,,,,,,,,,,,,,,,,,,,,,,
Apartment Burgemeester Reigerstraat in Utrecht,3581 KW (Oudwijk),"€1,550 per month",14-10-2022,For rent,Immediately,Furnished,58 m²,"Upstairs apartment, Apartment",Existing building,2,1,1,Mechanical ventilation,Present,Not present,,https://www.pararius.com/apartment-for-rent/utrecht/49495a3e/burgemeester-reigerstraat,,,Good,229 m³,1900,In the city centre,1,"Fully insulated, high-efficiency glass",Central heating boiler,Central heating boiler,Not present,,No,Public,Temporary rental,"€1,745",No,No,Working,"€5,100",2,,"Remeha HR (Gas, from 2022, Property)",,
Apartment Smakkelaarsveld 23 in Utrecht,3511 EA (Hoog-Catharijne NS en Jaarbeurs),"€1,450 per month",18-10-2022,Under option,Immediately,,50 m²,"Mezzanine, Apartment",Existing building,2,1,1,"Shower
 Storage space
 Toilet",Present,,C,https://www.pararius.com/apartment-for-rent/utrecht/2f0b764d/smakkelaarsveld,,,,150 m³,1975,,1,,,,,,,,,"€1,450",,,,,,,,,
Apartment Bakhuizen van den Brinkstraat in Utrecht,"3532 GA (Nieuw Engeland, Th. a. Kempisplantsoen en omgeving)","€1,150 per month",21-10-2022,For rent,From 01-11-2022,Furnished,35 m²,"Downstairs apartment, Apartment",Existing building,2,1,1,"Shower
 Toilet",,Present,C,https://www.pararius.com/apartment-for-rent/utrecht/a9b70717/bakhuizen-van-den-brinkstraat,,,Good,88 m³,1950,in a residential area,1,,,,Not present,,No,Paid,Unlimited period,"€1,150",No,No,Working,"€3,450",2,,,,
House Abstederdijk in Utrecht,"3582 BE (Abstede, Tolsteegsingel e.o.)","€1,600 per month",2 weeks,Under option,In consultation,,87 m²,"Corner house, Family home",Existing building,4,2,2,"Shower
 Storage space
 Toilet",Not present,Present (45 m²),,https://www.pararius.com/house-for-rent/utrecht/405afd42/abstederdijk,,,Reasonable,260 m³,Before 1906,"On a quiet road
 in a residential area",3,"Double glazing, Roof insulation",Central heating boiler,Central heating boiler,Present,Aangebouwd hout,No,Public,,,,,,,,,,89 m²,achtertuin
Apartment Oudegracht in Utrecht,"3511 AJ (Lange Elisabethstraat, Mariaplaats en omgeving)","€1,100 per month",2 weeks,For rent,From 01-11-2022,Upholstered,50 m²,Gallery flat,Existing building,1,,1,,,,,https://www.pararius.com/apartment-for-rent/utrecht/3364a017/oudegracht,,,,,1930,,,,,,,,,,,,,,,,,,,,
